spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,zero_crossing_rate_mean,zero_crossing_rate_std,rms_mean,rms_std,tempo,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,chroma1_mean,chroma1_std,chroma2_mean,chroma2_std,chroma3_mean,chroma3_std,chroma4_mean,chroma4_std,chroma5_mean,chroma5_std,chroma6_mean,chroma6_std,chroma7_mean,chroma7_std,chroma8_mean,chroma8_std,chroma9_mean,chroma9_std,chroma10_mean,chroma10_std,chroma11_mean,chroma11_std,chroma12_mean,chroma12_std,file_id,filename,station_name,genre
2067.5088159858183,826.312587515953,4476.947928508369,1437.101004571656,2296.901775059826,377.4216095832267,0.08674512928115326,0.05356854241286314,0.16579902,0.041141156,[99.38401442],-106.23159,46.73971,90.53403,30.1647,-0.060122464,20.613209,36.49618,14.058258,-5.4824157,12.681141,12.174983,9.696996,-4.4429536,10.248539,3.5262685,8.538653,-8.503713,9.840461,2.242833,8.465821,-15.385128,7.201338,-3.7388322,8.463482,-10.45224,7.74778,0.56987065,0.36617684,0.29903463,0.20093545,0.28678498,0.32100832,0.23156194,0.20760904,0.35737073,0.29604712,0.37964612,0.32565928,0.3933385,0.28988773,0.42223942,0.34555426,0.26289785,0.21329573,0.2570529,0.29453006,0.20475906,0.21929145,0.3265533,0.24526308,1,001_SomaFM_Folk_20250308_215100.mp3,SomaFM_Folk,Folk
2627.5533181412306,1142.567208180378,5794.4232952484035,2203.8013397429972,2794.5514609133857,528.8348526691534,0.08753801942240712,0.0638074748628284,0.17252256,0.056413967,[161.49902344],-99.97243,52.01953,80.1237,37.22179,30.868736,22.08253,26.682064,15.151489,1.4263271,11.674489,10.367477,9.84773,4.6991777,9.934998,5.438664,10.207742,-0.79216504,7.8628573,10.247556,10.431292,0.36332735,7.5320344,-0.5812496,8.8899975,0.076332845,7.859996,0.4490638,0.35273218,0.39367667,0.25993183,0.52143955,0.3127357,0.4340207,0.3017215,0.3588462,0.24038215,0.3920303,0.30392683,0.3532262,0.25962564,0.45907497,0.3475241,0.36112514,0.2771064,0.4164507,0.30980945,0.37284482,0.27701977,0.35255998,0.25933054,2,002_SomaFM_Lounge_20250308_215147.mp3,SomaFM_Lounge,Electronic
1269.8651772396174,71.56324705792639,2816.8663001281925,160.99578541959346,1413.7798222981,72.7356322174447,0.04983189821981424,0.006836315249076786,0.15413435,0.008770697,[95.703125],-131.61624,15.507473,174.5335,10.418706,-57.228786,5.9083476,62.53898,4.533434,-18.915428,4.860036,18.295446,5.152704,5.511805,5.1307435,4.791138,4.542536,0.98953575,4.615323,5.5532584,5.7768607,-8.461834,4.383732,9.478465,4.1948285,8.015351,4.5558605,0.438493,0.12518536,0.85240036,0.21311328,0.38272306,0.101666346,0.2355911,0.10484168,0.22350857,0.09230919,0.6345323,0.2847726,0.36996734,0.18026218,0.18035412,0.06799976,0.3434253,0.17979142,0.3175751,0.107419685,0.6259563,0.26238915,0.34003967,0.11187202,3,003_SomaFM_Drone_20250308_215235.mp3,SomaFM_Drone,Ambient
1410.0337374877527,392.44263334843856,2974.9070111443016,1330.1298272211181,2241.4698596426483,233.20745347656984,0.03742796717782508,0.02286468474749615,0.09886807,0.034657914,[135.99917763],-197.23495,71.38469,118.94246,15.022278,32.14875,26.117262,37.747013,9.32878,12.623176,10.772524,12.048978,6.9747195,0.64468753,7.4281583,8.626113,6.8811607,2.7818186,5.4372573,1.4951279,7.4171,-0.9679328,7.065299,6.796902,6.4069467,5.711393,6.688066,0.5004121,0.28140777,0.54123914,0.29612106,0.48747852,0.31070578,0.37052804,0.2524795,0.30263895,0.20871496,0.39539838,0.30384424,0.40661696,0.2912607,0.4079225,0.31265354,0.41996524,0.2278924,0.51810914,0.2999183,0.5603817,0.2874183,0.51728094,0.28615075,4,004_SomaFM_Jazz_20250308_215323.mp3,SomaFM_Jazz,Jazz
2281.8156834859537,738.6037880518091,4845.945697229344,1384.7141041078637,2396.2765460658643,357.07615148692724,0.09885843471845976,0.051570866713522956,0.11856894,0.04104012,[80.74951172],-97.590416,46.42699,90.1193,27.444834,-6.8495812,13.301504,25.19122,10.8885,-4.508195,8.763738,13.961829,9.174898,-1.6830267,7.6938343,0.5062682,8.060208,-6.248418,6.4083652,0.7280613,6.869422,-3.9821656,6.3430777,-1.6804142,5.9961863,-6.548742,6.2562103,0.3911531,0.29166213,0.3302922,0.23124704,0.4412435,0.32898223,0.31373307,0.22073275,0.41970158,0.26261476,0.58089674,0.34340835,0.3784875,0.19796123,0.46614906,0.32970592,0.28070086,0.19975816,0.401021,0.30135596,0.38557678,0.31295916,0.26868126,0.20795642,5,005_SomaFM_Indie_20250308_215356.mp3,SomaFM_Indie,Indie
2269.9665322627416,1119.0855134032154,4936.086818824981,2544.7980903297225,2584.1599936978764,650.2668449420457,0.07132118626644737,0.04945562988564028,0.17106763,0.057428606,[161.49902344],-104.595505,54.96353,101.472115,44.235542,22.884542,20.891214,15.505817,13.613286,0.54009676,12.619102,9.20778,9.203818,3.457289,8.181884,6.2513375,9.149486,0.31153136,7.695591,7.9467783,6.925123,5.276095,6.1528482,-0.23246054,6.906415,-1.4323194,8.497053,0.50387067,0.38201594,0.40502855,0.26212305,0.53582877,0.30925196,0.44020686,0.29719526,0.3630704,0.23533323,0.40239504,0.2668807,0.3528058,0.23982735,0.4975635,0.3096326,0.37950197,0.27409163,0.34300202,0.25401142,0.4260149,0.32561648,0.38154167,0.24075913,6,006_SomaFM_Lounge_20250308_215421.mp3,SomaFM_Lounge,Electronic
2551.6120652975674,1085.83557700382,5419.667228013738,2153.5046301222837,2664.1498796991395,538.400913607901,0.1087929929373065,0.06268462261624266,0.11925135,0.034191344,[103.359375],-107.082306,61.633366,87.146385,34.3266,8.550866,30.581596,23.017502,12.529222,19.895895,9.890173,13.358066,9.508304,-3.3207045,6.665716,14.198932,8.547084,6.6727624,11.518292,4.1744027,7.466346,-0.91015065,7.9342337,5.277974,8.874656,6.1080923,6.6973085,0.48505017,0.28239673,0.46326774,0.25891683,0.54465324,0.3296102,0.42076778,0.22987172,0.40536654,0.2549309,0.39209783,0.2719389,0.41138375,0.28596157,0.46060213,0.23439024,0.580762,0.26172385,0.6588417,0.28891125,0.5372032,0.29408875,0.38859755,0.21164769,7,007_SomaFM_Jazz_20250308_215510.mp3,SomaFM_Jazz,Jazz
1346.5223126001722,346.43830590397454,2808.0913531890965,1043.8921561761326,1820.2771478988036,272.7995813687194,0.06163870513254644,0.02327191464927574,0.16680114,0.047994383,[172.265625],-161.66179,45.898136,128.45285,17.519829,4.399216,13.931566,43.272408,11.774029,0.92780393,14.775893,-3.7357047,8.384575,-8.877319,7.9453144,5.956623,8.885922,-2.7175574,9.031849,-2.2288918,7.750919,-9.08725,9.929743,-3.1378353,10.843559,-1.4612355,9.8116455,0.43793812,0.40050113,0.21058182,0.15055327,0.350763,0.35365275,0.14396119,0.13390648,0.13972242,0.27809638,0.07674042,0.10051451,0.17655663,0.14332606,0.6765306,0.35213193,0.30033225,0.20246308,0.13052902,0.19977157,0.11537844,0.21207441,0.14570877,0.11147837,8,008_SomaFM_Folk_20250308_215625.mp3,SomaFM_Folk,Folk
2082.3266220531527,804.7476646670573,4434.681517420908,1590.6486625529349,2271.488488793967,638.9793517766865,0.07952899755708204,0.040052243834857525,0.18810563,0.047962684,[123.046875],-98.272644,52.05173,108.86545,41.589775,-19.013924,29.067677,34.698162,17.376057,-0.2621939,9.105918,5.5522437,10.945545,18.83132,11.748593,4.719336,14.965356,15.831045,10.918276,5.525344,9.170489,4.7290215,7.960996,3.5929744,8.238441,-4.711993,10.809145,0.42449299,0.3438454,0.20532472,0.16783966,0.23298492,0.20842203,0.41944602,0.33152035,0.44728452,0.2861441,0.5729082,0.35960302,0.37235647,0.23295027,0.3816778,0.26224613,0.35346824,0.29405493,0.3087473,0.2386445,0.34128895,0.3408238,0.26622427,0.2108068,9,009_SomaFM_Indie_20250308_215716.mp3,SomaFM_Indie,Indie
1512.1841927271512,309.3836149037822,3061.673153147978,694.5674539666313,1754.202237434649,213.90784833013566,0.06471238269156347,0.03156657460498869,0.11720627,0.046918944,[135.99917763],-127.4071,47.168488,138.52289,16.86597,-29.897814,13.852837,31.307959,11.491331,-7.5747733,9.540832,17.132835,7.2855124,-3.3048582,7.30622,9.549869,7.0470343,-3.6865363,7.497985,5.531021,6.7693486,-7.922327,6.0767817,4.4510093,5.920524,-4.1467857,6.8214746,0.46398917,0.29985607,0.38401523,0.18909751,0.51054,0.28322795,0.4574328,0.25846565,0.5705041,0.3187205,0.53415567,0.3047668,0.5106551,0.29804873,0.39425611,0.25287086,0.33532345,0.21483754,0.43723392,0.32303143,0.36398968,0.23381706,0.50284976,0.3206125,10,010_SomaFM_Ambient_20250308_215810.mp3,SomaFM_Ambient,Ambient
