audio_file,num_beeps,beep_times_str
audio_only_ID_37.wav,13,"0.344, 1.418, 2.519, 3.534, 5.618, 7.668, 9.684, 11.668, 12.586, 13.618, 15.534, 17.619, 19.268"
audio_only_ID_38.wav,16,"0.852, 2.518, 4.252, 5.418, 5.952, 7.653, 8.284, 9.352, 11.118, 12.752, 13.918, 14.452, 16.153, 16.684, 17.852, 19.418"
audio_only_ID_39.wav,18,"0.602, 1.802, 3.002, 4.202, 4.818, 5.402, 6.602, 7.802, 9.002, 10.202, 11.402, 12.518, 13.803, 15.000, 16.202, 17.402, 18.602, 19.934"
audio_only_ID_4.wav,12,"0.051, 1.202, 2.217, 3.234, 5.002, 7.202, 9.134, 11.034, 12.902, 15.019, 16.534, 18.302"
audio_only_ID_40.wav,16,"0.051, 1.452, 2.249, 3.268, 4.352, 5.268, 7.252, 9.168, 10.152, 11.068, 13.053, 14.768, 15.952, 16.568, 18.336, 18.852"
audio_only_ID_41.wav,20,"0.051, 0.536, 1.602, 2.669, 3.736, 4.802, 5.869, 6.936, 8.002, 9.069, 10.136, 11.202, 12.269, 13.336, 14.402, 15.469, 16.536, 17.602, 18.668, 19.736"
audio_only_ID_42.wav,20,"0.569, 1.702, 2.836, 3.468, 3.969, 5.102, 6.236, 7.369, 8.502, 9.636, 10.769, 11.902, 13.036, 14.169, 15.303, 16.436, 17.569, 18.200, 18.702, 19.836"
audio_only_ID_43.wav,27,"0.369, 1.102, 1.836, 2.569, 3.302, 4.036, 4.769, 5.502, 6.236, 6.969, 7.702, 8.436, 9.169, 9.902, 10.636, 11.369, 12.102, 12.836, 13.569, 14.303, 15.036, 15.769, 16.502, 17.118, 17.969, 18.702, 19.500"
audio_only_ID_44.wav,14,"0.051, 1.118, 2.117, 2.902, 4.132, 5.118, 7.068, 8.702, 10.868, 12.718, 14.502, 16.318, 18.068, 19.784"
audio_only_ID_45.wav,30,"0.336, 1.002, 1.669, 2.336, 3.002, 3.684, 4.336, 5.002, 5.669, 6.336, 7.002, 7.669, 8.336, 9.002, 9.669, 10.336, 11.002, 11.669, 12.336, 13.002, 13.669, 14.336, 15.002, 15.669, 16.336, 17.002, 17.669, 18.336, 19.002, 19.669"
audio_only_ID_5.wav,13,"0.517, 1.668, 2.799, 3.918, 5.019, 6.134, 8.367, 10.468, 11.719, 12.584, 15.069, 16.718, 18.419"
audio_only_ID_6.wav,15,"0.044, 1.068, 2.067, 2.602, 4.037, 5.034, 6.968, 7.802, 8.868, 10.736, 13.002, 14.368, 16.134, 18.202, 19.568"
audio_only_ID_7.wav,13,"0.051, 1.168, 2.179, 3.552, 5.168, 7.118, 9.034, 10.652, 12.768, 14.586, 16.368, 17.752, 19.834"
audio_only_ID_8.wav,18,"0.636, 1.397, 1.902, 3.150, 4.436, 5.702, 6.969, 8.236, 9.502, 10.017, 10.769, 12.036, 13.302, 14.569, 15.836, 17.102, 18.369, 19.636"
audio_only_ID_9.wav,21,"0.297, 0.969, 2.414, 2.902, 3.468, 4.836, 5.534, 6.769, 7.568, 8.702, 9.584, 10.636, 11.534, 12.569, 13.452, 14.502, 15.334, 16.436, 17.186, 18.369, 19.000"
