,0,1,2,3,4
ad,0.061271785751112,0.0,0.10739931664816842,0.0017388285891435382,0.0
ae,0.0,0.0,0.0,0.3803788208849059,0.0
af,0.09583577131369919,0.014344784191679692,0.11946943872743693,0.0493170415567913,0.0
ag,0.0302129483719161,0.0,0.3445679437368461,0.05489269969025802,0.0
ai,0.018249440806843504,0.018827981570077815,0.38414023550534576,0.03067965316017121,0.009251734885476905
al,0.004018134297436626,0.0,0.0,0.004441664690012371,0.17875849821250492
am,0.07808675568655055,0.0,0.1063757959336072,0.011219048028955222,0.022048713138521893
ao,0.0,0.0,0.0,0.0218948174783709,0.416781298168046
ar,0.07718221311095463,0.0,0.0,0.0005570315004994994,0.16819872822463855
at,0.030275617693920995,0.048735089442024135,0.07163406678152388,0.04953666680780875,0.0
au,0.0,0.1816262348110354,0.022313651641758928,0.0,0.0314223145536058
aw,0.02075129245332639,0.11532897275107461,0.0145428759150196,0.14687576940606717,0.023410848975044498
ax,0.10695766596656263,0.12656727474060356,0.0,0.0,0.008399905394380335
az,0.059242693784022485,0.0,0.025348437717518695,0.07367677999899494,0.026301508833426007
bb,0.0332423664023727,0.029389689255841286,0.07256012728981658,0.03041710677070975,0.1241914983661041
bd,0.06597527133713728,0.08118906544603809,0.009472488100215597,0.0,0.009754133970494423
bf,0.07147476369320105,0.0,0.0,0.0,0.32589623099133636
bg,0.024601221051155565,0.17997847650445417,0.02066832113200201,0.052633166721875776,0.0
bh,0.0,0.0,0.0,0.20899778690484788,0.0
bj,0.05088612249475155,0.01714970815439621,0.012015389898658555,0.05703723816203072,0.08559653501847928
bl,0.019621053358830482,0.1688709648931195,0.059877718627369805,0.042422977036414816,0.01122959136202337
bm,0.0017275308113560268,0.14881221773611203,0.005217360289016251,0.08913810460210654,0.0298757066793749
bn,0.0,0.0,0.10357181628052607,0.0762847667681193,0.03637619901198786
bo,0.21717908565062424,0.0,0.021133583439892425,0.10098953477568214,0.007036274461948091
br,0.28370319220708656,0.014428452642541199,0.0,0.0015893627585273867,0.010846696981212439
bs,0.05303536709595396,0.008874162854713822,0.053157018840019235,0.0,0.04298685737535229
bt,0.05167023554810397,0.0,0.0,0.07110606812010402,0.08217941525364597
bw,0.0,0.0,0.1824298965429494,0.013819918942244975,0.02425067119726733
by,0.02954055070662929,0.0,0.008010803199105377,0.07523838002140355,0.22431641423920798
bz,0.09029176831886374,0.0833157449168489,0.13103025181844397,0.0,0.0
ca,0.0,0.038442270659609916,0.24011272921720908,0.0,0.0
cd,0.0,0.0,0.006851517172370695,0.13412159026299722,0.23379068016052812
cf,0.0,0.0,0.0,0.0935983698905325,0.12178227004199253
cg,0.01782426135722271,0.013391341953840981,0.0,0.08329758919849786,0.2705852418094151
ci,0.01753504151842437,0.0,0.044435067178963915,0.12418642405234923,0.0847312250672665
ck,0.0,0.07000048148785672,0.26379216304009145,0.0,0.0
cl,0.08696319043055394,0.046955812428104815,0.006643345195587289,0.0,0.0
cm,0.013063622274919336,0.04391163573966591,0.16161566547335549,0.06590584463652335,0.10719811574038865
cn,0.04170550280465265,0.0,0.038493178020406256,0.0,0.1070379706192358
co,0.1602550339222306,0.008006427989396629,0.0,0.052636629918154286,0.07613423087694073
cr,0.19609847921828136,0.0,0.0,0.04526233690057426,0.0
cu,0.04066655764518338,0.0,0.0,0.19111099216369692,0.01536818577968954
cv,0.016447067235458707,0.09144796670929882,0.0,0.0,0.14931653179137616
cw,0.0,0.20952491835323583,0.0,0.08810338670324389,0.10740190105426425
cz,0.003471977243969497,0.2723881859693305,0.0,0.0,0.0
de,0.013931851859583093,0.0,0.0,0.0,0.12400552941409974
dj,0.07060668722183978,0.03676486123830009,0.0,0.16760217923382675,0.0
dm,0.007640316827094057,0.23733465828263667,0.04046765224706982,0.0,0.04251061170818004
do,0.22711389543033,0.0,0.0,0.02275176382662144,0.059097246278343354
dz,0.011574268519445189,0.0,0.0,0.09304664461369981,0.03836027760652264
ee,0.021647736715787774,0.027178728495328236,0.008908233302439932,0.05904714160399332,0.0875124530067888
eg,0.21812449790136756,0.0,0.03874695601804661,0.0,0.0
eh,0.015639567793193438,0.0,0.0,0.0,0.23290951139011537
er,0.0,0.0021820429424596085,0.0037525671268178996,0.010111437033008963,0.06552762953338188
et,0.0,0.0,0.06579362592929452,0.04285245187548957,0.25417988483570036
fj,0.0,0.009138257101164827,0.20538528808265408,0.0,0.005876397101458821
fk,0.0,0.4206539136908898,0.0,0.0,0.0
fm,0.0,0.13910204966301534,0.07052573385001394,0.0,0.06914742995154895
fr,0.1567431119395518,0.0,0.0,0.020351011570393318,0.07202089898103657
ga,0.07446857604651312,0.03307587343771782,0.0,0.0,0.13973269807643773
gb,0.0,0.0,0.1444773686344253,0.16461153753761537,0.0
gd,0.0,0.0,0.18140445800302704,0.0,0.22584058207636712
ge,0.15237960082536883,0.0,0.08666743964074895,0.0,0.0009054697009003822
gg,0.0033136761624861905,0.41051503639589954,0.0,0.022872890836858322,0.0
gh,0.05167510191461127,0.0,0.19869454779625315,0.0,0.0370615424941582
gi,0.03062054547132628,0.00295842951516265,0.11820423210388223,0.003522153118404952,0.0
gl,0.005578929268374812,0.0056772623479504555,0.019946639827698454,0.08947101873464626,0.08015861653774875
gm,0.017901005179996304,0.0,0.14889426658900012,0.021515326823989826,0.12063721069515486
gn,0.0,0.0,0.0,0.0,0.3133225357721224
gq,0.0,0.011258255273907428,0.026144608486411463,0.0903271960321761,0.11186479956348026
gt,0.14714446298546197,0.07074476675276395,0.04547359585666778,0.035117375295591995,0.017443837854695634
gu,0.0,0.15309774656124714,0.1467350276845892,0.049999225319559255,0.0
gw,0.046700295737354125,0.03061615175319343,0.0,0.282907888395206,0.042033172800137845
gy,0.021679974276163326,0.10880340855367042,0.18694089855743937,0.03874464341931832,0.02407724534961941
hn,0.1908818221438808,0.06231727428183894,0.0,0.044321848866674826,0.02233339057741447
hr,0.050213432048748625,0.11807151675032289,0.013252600308840725,0.1895684676325137,0.0
ht,0.0023940865924004873,0.0,0.04041527685841799,0.20413193872930424,0.0023039555581401638
hu,0.20464416028888716,0.03715499843342101,0.0,0.010374620816443901,0.004752803340781317
id,0.0,0.0,0.042263683256188116,0.19491668216047328,0.0036833393479772224
ie,0.11110504159763532,0.00970952611680384,0.047137619911131655,0.0,0.0
il,0.031110482151422245,0.01868544023016366,0.07288211596246931,0.031167121712476882,0.07442304627399428
im,0.034635738804351085,0.29983964637882504,0.11484135540183403,0.0,0.01276975815192736
in,0.011359800947709634,0.05089893777083198,0.025658962801180206,0.0,0.15096069007480112
iq,0.2709222480194522,0.0,0.0,0.0,0.0
ir,0.11408189299511085,0.010555538762597969,0.0,0.0,0.029250688597789058
it,0.042370453341524936,0.0,0.03544899001345877,0.0,0.1717816319314997
je,0.0,0.2209625046071375,0.13880538369309842,0.009092201436430716,0.0
jm,0.0,0.0,0.29195786790617745,0.0,0.0
jo,0.0,0.0,0.0,0.2923446009266415,0.0
jp,0.06851134561419028,0.0,0.0,0.018405484083263948,0.005734371703172573
ke,0.024754463775960155,0.0,0.2890074806327885,0.0,0.12321953826006343
kg,0.024237886574024065,0.017926344969999335,0.11638521523676403,0.025439145809471302,0.1533062541290445
kh,0.06899996132801288,0.0,0.0030597862875105207,0.10580837453797018,0.03731761922039631
ki,0.0,0.011702802510987664,0.09257569644967138,0.0,0.29785280304014283
km,0.0,0.23232548368251774,0.029555283630327008,0.05457587724719966,0.0901765735434711
kn,0.0,0.0,0.3868531768919186,0.020830889242094246,0.0
kp,0.02255322454550245,0.015052524894707046,0.0,0.1308018847643028,0.10870200460457821
kr,0.009492868510974374,0.07049137014132521,0.17618346134176424,0.06891837933162875,0.03849754682230476
kw,0.0,0.0,0.0,0.09302316638232783,0.0
ky,0.015338395075094269,0.3346406557564543,0.0,0.006575709803088432,0.0
kz,0.0,0.0,0.0,0.40742588321526446,0.0
la,0.0,0.0,0.0,0.0,0.25328524624503507
lb,0.009812035022027241,0.0,0.0,0.4243781221031417,0.0
lc,0.022393774736805566,0.2557202811120309,0.12702796647604583,0.0,0.044877401646646047
li,0.007124154610105662,0.0021163427685370086,0.03105754103474455,0.25673532463059767,0.03886571304812099
lr,0.004569498138778788,0.07567065634464869,0.10265233408049315,0.12503403992503417,0.0
ls,0.0,0.04699659609587999,0.2721904805701974,0.07413894922221649,0.0
lt,0.11920283989834801,0.014971070237177659,0.07991953495176027,0.013773185584446856,0.039585260765982296
lu,0.19654197799101716,0.0,0.02623362821871345,0.015157686363106772,0.0
lv,0.0,0.0,0.12457705248465238,0.0,0.024845349539173046
ly,0.01334075001760231,0.024350416719196678,0.009916073268024395,0.09858660911774296,0.023498093329569213
ma,0.09197862200504198,0.0,0.006770750430620911,0.05158352591179061,0.04797108947538741
mc,0.0,0.028723378897076136,0.0,0.2742633635875839,0.0
md,0.07925545290658763,0.009865634668971675,0.0,0.0,0.027606702381962833
me,0.10541907414156391,0.019021630137797403,0.0,0.0,0.0
mf,0.0,0.41809902473433985,0.0,0.0,0.0037290947373583906
mg,0.0,0.05654254873883542,0.03714036340803152,0.09310603813249711,0.0706299547512593
mh,3.3199094946393465e-05,0.3555499247909397,0.05123351784028914,0.006117652755052041,0.0
mk,0.08794009473389783,0.0,0.03827844272930793,0.0,0.023371322599559447
ml,0.0,0.0,0.0755175777579193,0.0,0.24327348213993774
mm,0.007433732045002568,0.00966284891283017,0.09906782151109908,0.10483790868365785,0.014723236250499722
mn,0.02617455588201307,0.0,0.0009926564107988634,0.12607372240893167,0.15878019084680223
mr,0.0,0.0,0.05620986754420831,0.1479926726804827,0.0
ms,0.0,0.05843696528401048,0.1371337805424204,0.04625572573163286,0.08330177256618294
mt,0.0,0.023896993535582615,0.2869613907718761,0.04667983374983721,0.02281303534709782
mu,0.0,0.031684096180688265,0.10566276500997734,0.07339936467897976,0.1521402226760905
mv,0.011123141943353808,0.0,0.017289533132690264,0.06643150855222028,0.07863062327273142
mw,0.031114023779114652,0.010455775288615878,0.19337106454146444,0.0,0.04804832697167108
mx,0.2704019123760125,0.0,0.0,0.0,0.0
my,0.0,0.0,0.16321307862176296,0.042434049029891896,0.05001481328186021
mz,0.09095123394606966,0.0236683813488572,0.0,0.0005489428444095041,0.11153490730408867
na,0.04021124364668377,0.0,0.07221582711723919,0.09898180149265468,0.001696427562299131
ne,0.007072782405773705,0.0,0.0390419962543698,0.08308356453031863,0.12391518363129987
nf,0.004011803631797389,0.04015574983385604,0.004095115606157264,0.0,0.06903818569848329
ng,0.0,0.0,0.24451952662123908,0.05523667264329795,0.075903245450061
ni,0.10520373922657211,0.0,0.0,0.058129738582663154,0.0314315497660047
no,0.07012387686376118,0.10895016393720847,0.0726120022915772,0.0605384114735053,0.033446907955866904
np,0.0,0.0184396804762507,0.022789316827519963,0.18418072383861972,0.05607999983388909
nr,0.0588584171741502,0.0844762077444328,0.07779859447332647,0.05566381659357493,0.00211230263624702
nu,0.0,0.0054424404114430495,0.030720664397409968,0.0,0.0
nz,0.01577248954718837,0.0,0.3875630136518643,0.005918623316859359,0.0
om,0.0,0.0,0.026718751779124035,0.2017455914775389,0.06225688604329767
pa,0.11857185477097242,0.04797514135047284,0.02234525551942652,0.04173414749906243,0.02088349800652764
